iata_code,icao_code,name,city,country,latitude,longitude
GRG,OAGZ,"Gardez Airport",Gardez,AF,33.627366,69.237023
KWH,OAHN,"Khwahan Airport",Khwahan,AF,37.890021,70.20383
HEA,OAHR,"Herat - Khwaja Abdullah Ansari International Airport",Guzara,AF,34.209999,62.228298
OAI,OAIX,"Bagram Airfield",Bagram,AF,34.946098,69.264999
JAA,OAJL,"Jalalabad Airport",Jalalabad,AF,34.399799,70.498596
KBL,OAKB,"Kabul International Airport",Kabul,AF,34.565899,69.212303
KDH,OAKN,"Ahmad Shah Baba International Airport / Kandahar Airfield",Khvoshab,AF,31.5058,65.847801
KHT,OAKS,"Khost International Airport",Khost,AF,33.284605,69.80734
MMZ,OAMN,"Maymana Zahiraddin Faryabi Airport",Maymana,AF,35.930801,64.760902
MZR,OAMS,"Mazar-i-Sharif International Airport",Mazar-i-Sharif,AF,36.706902,67.209702
URN,OAOG,"Urgun Airport",Urgun,AF,32.939933,69.150064
LQN,OAQN,"Qala-i-Naw Airport",Qala-i-Naw,AF,34.985472,63.117404
URZ,OARG,"Orūzgān Airport",Orūzgān,AF,32.9029998779,66.630897522
KUR,OARZ,"Razer Airport",Skazar,AF,36.029893,70.714159
OAS,OASA,"Sharana Airstrip",Sharana,AF,33.12575,68.838517
OAH,OASD,"Shindand Air Base",Shindand,AF,33.3913,62.261002
OAA,OASH,"Shank Air Base","Baraki Barak",AF,33.922217,69.07794
OLR,OASL,"Salerno Airport",Khost,AF,33.3638,69.9561
SGA,OASN,"Sheghnan Airport",Shiveh,AF,37.497642,71.508484
TII,OATN,"Tarinkot Airport",Tarinkot,AF,32.604198,65.865799
TQN,OATQ,"Taleqan Airport",Taleqan,AF,36.770699,69.531998
UND,OAUZ,"Kunduz Airport",Kunduz,AF,36.6651,68.910797
OAZ,OAZI,"Camp Shorabak Airfield","Lashkar Gah",AF,31.848735,64.223175
ZAJ,OAZJ,"Zaranj Airport",Zaranj,AF,30.972222,61.865833
BAH,OBBI,"Bahrain International Airport",Manama,BH,26.267295,50.63764
OCS,,"Corisco International Airport","Corisco Island",GQ,0.9125,9.3304
AHB,OEAB,"Abha International Airport",Abha,SA,18.2404,42.656601
HOF,OEAH,"Al-Ahsa International Airport",Hofuf,SA,25.285299,49.485199
ULH,OEAO,"Majeed Bin Abdulaziz Airport","Al Ula",SA,26.483333,38.116944
